stem,plate,label,length_px,signal_mean,signal_frac,straightness,signal_p25
P23_B03_ACT104_EGFR,PLATE_23,1,146.11875572522922,148.01333333333332,1.0,0.0,150.0
P23_B03_ACT104_EGFR,PLATE_23,0,41.76366567932835,145.4390243902439,1.0,0.1360109750945543,150.0
P23_B03_ACT104_EGFR,PLATE_23,0,952.8904543428592,132.60721649484537,0.9814432989690721,0.11429112901948457,129.0
P23_B03_ACT104_EGFR,PLATE_23,0,407.898229778007,129.54166666666666,0.984375,0.13535544655993412,112.0
P23_B03_ACT104_EGFR,PLATE_23,1,1167.7333660829293,138.026213592233,0.9941747572815534,0.28271877704970605,150.0
P23_B03_ACT104_EGFR,PLATE_23,1,566.497826836807,134.12307692307692,1.0,0.0,119.0
P23_B03_ACT104_EGFR,PLATE_23,1,243.0313131653981,96.25454545454545,1.0,0.0,83.0
P23_B03_ACT104_EGFR,PLATE_23,1,640.587438725652,148.71148825065274,1.0,0.7799065993050592,150.0
P23_B03_ACT104_EGFR,PLATE_23,1,245.65634337225018,133.60091743119267,1.0,0.27307719901968136,125.0
P23_B03_ACT104_EGFR,PLATE_23,1,806.1554682843505,146.46178686759956,1.0,0.6413814554604746,150.0
P23_B03_ACT104_EGFR,PLATE_23,1,1132.6122339789667,120.24089635854342,1.0,0.08880266639938296,93.0
P23_B03_ACT104_EGFR,PLATE_23,1,360.9557624694992,142.22573839662448,1.0,0.9533368363422496,150.0
P23_B03_ACT104_EGFR,PLATE_23,0,38.32674486879359,135.41666666666666,1.0,0.6622081727327332,111.75
P23_B03_ACT104_EGFR,PLATE_23,1,493.4333503043355,131.42315369261476,1.0,0.0681482070122485,116.0
P23_B03_ACT104_EGFR,PLATE_23,1,476.64282775860613,144.85341365461846,1.0,0.9758987554394183,150.0
P23_B03_ACT104_EGFR,PLATE_23,1,2181.8216440061883,141.82849740932642,0.9689119170984456,0.03490205954828672,150.0
P23_B03_ACT104_EGFR,PLATE_23,0,837.8383833739032,142.85714285714286,1.0,0.4672666439630691,150.0
P23_B03_ACT104_EGFR,PLATE_23,1,800.6308902956313,138.78252611585944,0.9990503323836657,0.05588307138972067,150.0
P23_B03_ACT104_EGFR,PLATE_23,1,766.6549291526927,147.5280612244898,1.0,0.9921165020959583,150.0
P23_B03_ACT104_EGFR,PLATE_23,1,1151.7856129874083,147.44133099824867,1.0,0.368094550394799,150.0
P23_B03_ACT104_EGFR,PLATE_23,1,98.80201048613038,149.5096153846154,1.0,0.6079267701499761,150.0
P23_B03_ACT104_EGFR,PLATE_23,0,2252.236814976095,135.57400863761288,0.9980369061641147,0.26645421157574356,146.0
P23_B03_ACT104_EGFR,PLATE_23,1,778.6090150506507,150.0,1.0,0.793028137349242,150.0
P23_B03_ACT104_EGFR,PLATE_23,1,696.9056681935991,147.83453237410072,1.0,0.3579355218602273,150.0
P23_B03_ACT104_EGFR,PLATE_23,0,67.89897871844806,150.0,1.0,0.3311141889991737,150.0
P23_B03_ACT104_EGFR,PLATE_23,0,200.34533218583607,147.34710743801654,1.0,0.0,150.0
